ID_REF,logFC,pval,FDR
1552453_a_at,0.15958919809725103,0.5867336519354182,
1552455_at,0.21330882278119034,0.21723124406312447,
1552456_a_at,-0.14471038720246376,0.4295344973649756,
1552457_a_at,0.31179043969137066,0.17930031295026735,
1552458_at,0.12941301407230288,0.41590875161785623,
1552459_a_at,0.15276688521837922,0.4285158804215481,
1552461_at,0.10715766895338419,0.6276064093086755,
1552463_at,0.0198930918000384,0.9114045279304908,
1552466_x_at,0.05744237507202232,0.7452244161379982,
1552467_at,0.02649999978825779,0.8845748849577345,
1552468_a_at,0.20467745851612928,0.20891281239417397,
1552470_a_at,0.27455663259195084,0.30161587428202624,
1552472_a_at,0.12326111664831174,0.28897632935483264,
1552473_at,0.05405494393596122,0.6139508106856204,
1552474_a_at,0.10973167014053864,0.40649382931587774,
1552476_s_at,0.11934380529460764,0.5379328015235575,
1552477_a_at,0.1350747302135531,0.5407757240487017,
1552478_a_at,0.33811300906532527,0.11148518748723428,
1552480_s_at,-0.03480661751967329,0.8358775065314322,
1552481_s_at,0.1804875746113943,0.26490311684792,
1552482_at,-0.018520652965956508,0.9109205096560979,
1552484_at,0.28616305455394997,0.07050306531165998,
1552485_at,0.02246467798981655,0.8660215429598285,
1552486_s_at,-0.18617095803772354,0.03480727334375663,
1552487_a_at,0.023675853267679514,0.9149284162939618,
1552489_s_at,0.022347003147075384,0.9098989636497374,
1552490_at,0.061522085986314146,0.6581052126007978,
1552491_at,-0.3328748058150124,0.10016679735143244,
1552493_s_at,0.2936700726073038,0.2904719406984346,
1552494_at,-0.03583426427291059,0.7771987012581146,
1552496_a_at,-0.2135237428488006,0.4539587831023557,
1552497_a_at,-0.0655414538186907,0.613662011497549,
1552498_at,-0.008968953759820764,0.9498554772686002,
1552499_a_at,-0.273053529051249,0.13138164958992954,
1552501_a_at,0.018574196865026593,0.9065650022753142,
1552502_s_at,0.42407397806254377,0.032752355081663,
1552503_at,0.028522296718947793,0.8739228024836815,
1552504_a_at,0.35396664381082843,0.013850120271931674,
1552506_at,-0.005020177565277173,0.9781900746510681,
1552507_at,0.009688645955368003,0.9644604401958947,
1552508_at,0.21425061324138195,0.30264146996083097,
1552509_a_at,0.10633807786493321,0.5348609736606723,
1552510_at,0.06633505759779013,0.46767763658297923,
1552511_a_at,0.3688235811605214,0.3877823069205546,
1552514_at,-0.1985178916061896,0.1400120821492027,
1552515_at,-0.10178706409135874,0.4222328027821374,
1552516_a_at,-0.3419247282026081,0.004941182084718455,
1552518_s_at,0.07371881673827474,0.7314775888166873,
1552519_at,0.0872438768626882,0.7375707938890638,
1552520_at,-0.015472237208246753,0.9172342279900482,
1552521_a_at,-0.16401877656166608,0.43060394498472143,
1552522_at,0.08076640626915843,0.592185093762986,
1552523_a_at,0.048702327907834686,0.7270937902244337,
1552524_at,0.1569391254115855,0.5013621206790628,
1552526_at,0.0005762200779431126,0.9977336522680629,
1552528_at,0.016501493618155116,0.9145881402384137,
1552531_a_at,-0.4362450035140828,0.22399096750488257,
1552532_a_at,0.48240988421303044,0.03863147621490659,
1552535_at,0.08326435279875621,0.6236454157928751,
1552536_at,-0.19052095938180358,0.03787916921288653,
1552538_a_at,0.24468864910537746,0.3160045937287316,
1552540_s_at,-0.19433618825208132,0.2246858790503048,
1552541_at,-0.27258274814319705,0.040226388811643005,
1552542_s_at,-0.6456112265056202,0.00035271371932946876,
1552543_a_at,0.2564718524761487,0.17334971123197962,
1552544_at,-0.07433680446047752,0.5944707562444782,
1552546_a_at,0.11931227567568925,0.4944447160989519,
1552548_at,-0.04037661185398189,0.7957410012508251,
1552549_a_at,-0.004736687774899551,0.9814756778619517,
1552552_s_at,0.09760991896522331,0.5931021182068634,
1552553_a_at,0.15465675110806032,0.4114808764170669,
1552554_a_at,0.2591496130387343,0.21580169868510515,
1552555_at,0.093077504282018,0.4601290143044161,
1552557_a_at,0.009093942071725536,0.9627884252385435,
1552558_a_at,0.06498744698907188,0.5928516473698155,
1552559_a_at,0.1640264254036321,0.38921574166030193,
1552562_at,0.10938899778967315,0.35828206137613217,
1552563_a_at,0.09528819303532199,0.6008876010060278,
1552564_at,-0.007783729370970605,0.9642144785315796,
1552566_at,0.32802692989648996,0.18223145695739715,
1552568_at,0.1230304281729726,0.3946417820802265,
1552569_a_at,0.29969941239102393,0.28829058217476805,
1552570_at,0.18938454815958927,0.1785379951536052,
1552572_a_at,0.07413738542718473,0.7172610952168483,
1552573_s_at,0.11778593949199845,0.5984640258198468,
1552575_a_at,0.15977365584961412,0.4176850177631456,
1552576_at,0.10238894069472071,0.5194272170401909,
1552578_a_at,-0.14126902435046684,0.3324404338843925,
1552579_a_at,-0.02068453889776478,0.8875210913952603,
1552580_at,0.008768255139132819,0.9665339961555058,
1552582_at,0.04889999318080651,0.777879093825371,
1552583_s_at,0.10002839466354452,0.6030764672789055,
1552584_at,-0.31076833128129167,0.009514881002081471,
1552585_s_at,0.1735173498335838,0.34666110064317357,
1552586_at,0.029381189895704374,0.8480067123173527,
1552587_at,0.1899696173146843,0.2049874436727881,
